Ilce,Mahalle,Yil,Mevsim,Sicaklik,Nufus,Enlem,Boylam,SuTuketimi
Seyhan,Ahmet Remzi Yüreğir,2020,Yaz,44,1260,36.997032,35.306839,17698
Seyhan,Ahmet Remzi Yüreğir,2020,Sonbahar,23,1260,36.997032,35.306839,10696
Seyhan,Ahmet Remzi Yüreğir,2021,Kış,5,1260,36.997032,35.306839,4975
Seyhan,Ahmet Remzi Yüreğir,2021,İlkbahar,17,1260,36.997032,35.306839,9359
Seyhan,Ahmet Remzi Yüreğir,2021,Yaz,34,1260,36.997032,35.306839,14700
Seyhan,Ahmet Remzi Yüreğir,2021,Sonbahar,22,1260,36.997032,35.306839,10340
Seyhan,Ahmet Remzi Yüreğir,2022,Kış,18,1260,36.997032,35.306839,8804
Seyhan,Ahmet Remzi Yüreğir,2022,İlkbahar,22,1260,36.997032,35.306839,10874
Seyhan,Ahmet Remzi Yüreğir,2022,Yaz,40,1260,36.997032,35.306839,16443
Seyhan,Ahmet Remzi Yüreğir,2022,Sonbahar,23,1260,36.997032,35.306839,10687
Seyhan,Ahmet Remzi Yüreğir,2023,Kış,12,1260,36.997032,35.306839,7227
Seyhan,Ahmet Remzi Yüreğir,2023,İlkbahar,26,1260,36.997032,35.306839,11816
Seyhan,Ahmet Remzi Yüreğir,2023,Yaz,33,1260,36.997032,35.306839,14399
Seyhan,Ahmet Remzi Yüreğir,2023,Sonbahar,13,1260,36.997032,35.306839,7772
Seyhan,Akkapı,2019,Kış,14,19188,36.960381,35.302792,57880
Seyhan,Akkapı,2019,İlkbahar,20,19188,36.960381,35.302792,69306
Seyhan,Akkapı,2019,Yaz,35,19188,36.960381,35.302792,79633
Seyhan,Akkapı,2019,Sonbahar,11,19188,36.960381,35.302792,60913
Seyhan,Akkapı,2020,Kış,7,19188,36.960381,35.302792,55908
Seyhan,Akkapı,2020,İlkbahar,22,19188,36.960381,35.302792,70067
Seyhan,Akkapı,2020,Yaz,44,19188,36.960381,35.302792,82250
Seyhan,Akkapı,2020,Sonbahar,14,19188,36.960381,35.302792,61794
Seyhan,Akkapı,2021,Kış,2,19188,36.960381,35.302792,54406
Seyhan,Akkapı,2021,İlkbahar,15,19188,36.960381,35.302792,67858
Seyhan,Akkapı,2021,Yaz,37,19188,36.960381,35.302792,80048
Seyhan,Akkapı,2021,Sonbahar,17,19188,36.960381,35.302792,62745
Seyhan,Akkapı,2022,Kış,3,19188,36.960381,35.302792,54560
Seyhan,Akkapı,2022,İlkbahar,18,19188,36.960381,35.302792,68720
Seyhan,Akkapı,2022,Yaz,31,19188,36.960381,35.302792,78329
Seyhan,Akkapı,2022,Sonbahar,13,19188,36.960381,35.302792,61589
Seyhan,Akkapı,2023,Kış,14,19188,36.960381,35.302792,57937
Seyhan,Akkapı,2023,İlkbahar,22,19188,36.960381,35.302792,69811
Seyhan,Akkapı,2023,Yaz,42,19188,36.960381,35.302792,81649
Seyhan,Akkapı,2023,Sonbahar,11,19188,36.960381,35.302792,60910
Seyhan,Alidede,2019,Kış,10,1442,36.981705,35.326466,6906
Seyhan,Alidede,2019,İlkbahar,17,1442,36.981705,35.326466,9934
Seyhan,Alidede,2019,Yaz,42,1442,36.981705,35.326466,17666
Seyhan,Alidede,2019,Sonbahar,12,1442,36.981705,35.326466,7854
Seyhan,Alidede,2020,Kış,9,1442,36.981705,35.326466,6640
Seyhan,Alidede,2020,İlkbahar,18,1442,36.981705,35.326466,10305
Seyhan,Alidede,2020,Yaz,34,1442,36.981705,35.326466,15530
Seyhan,Alidede,2020,Sonbahar,23,1442,36.981705,35.326466,11080
Seyhan,Alidede,2021,Kış,18,1442,36.981705,35.326466,9564
Seyhan,Alidede,2021,İlkbahar,22,1442,36.981705,35.326466,11378
Seyhan,Alidede,2021,Yaz,39,1442,36.981705,35.326466,16844
Seyhan,Alidede,2021,Sonbahar,24,1442,36.981705,35.326466,11477
Seyhan,Alidede,2022,Kış,11,1442,36.981705,35.326466,7283
Seyhan,Alidede,2022,İlkbahar,20,1442,36.981705,35.326466,10874
Seyhan,Alidede,2022,Yaz,40,1442,36.981705,35.326466,17062
Seyhan,Alidede,2022,Sonbahar,23,1442,36.981705,35.326466,11311
Seyhan,Alidede,2023,Kış,12,1442,36.981705,35.326466,7592
Seyhan,Alidede,2023,İlkbahar,20,1442,36.981705,35.326466,10712
Seyhan,Alidede,2023,Yaz,32,1442,36.981705,35.326466,14894
Seyhan,Alidede,2023,Sonbahar,16,1442,36.981705,35.326466,9235
Seyhan,Aydınlar,2019,Kış,0,11048,37.002644,35.264786,31076
Seyhan,Aydınlar,2019,İlkbahar,27,11048,37.002644,35.264786,44427
Seyhan,Aydınlar,2019,Yaz,33,11048,37.002644,35.264786,49788
Seyhan,Aydınlar,2019,Sonbahar,13,11048,37.002644,35.264786,37043
Seyhan,Aydınlar,2020,Kış,6,11048,37.002644,35.264786,32764
Seyhan,Aydınlar,2020,İlkbahar,21,11048,37.002644,35.264786,42732
Seyhan,Aydınlar,2020,Yaz,32,11048,37.002644,35.264786,49293
Seyhan,Aydınlar,2020,Sonbahar,18,11048,37.002644,35.264786,38687
Seyhan,Aydınlar,2021,Kış,8,11048,37.002644,35.264786,33214
Seyhan,Aydınlar,2021,İlkbahar,29,11048,37.002644,35.264786,45288
Seyhan,Aydınlar,2021,Yaz,40,11048,37.002644,35.264786,51890
Seyhan,Aydınlar,2021,Sonbahar,14,11048,37.002644,35.264786,37392
Seyhan,Aydınlar,2022,Kış,0,11048,37.002644,35.264786,30977
Seyhan,Aydınlar,2022,İlkbahar,18,11048,37.002644,35.264786,41805
Seyhan,Aydınlar,2022,Yaz,44,11048,37.002644,35.264786,52842
Seyhan,Aydınlar,2022,Sonbahar,23,11048,37.002644,35.264786,40159
Seyhan,Aydınlar,2023,Kış,4,11048,37.002644,35.264786,32222
Seyhan,Aydınlar,2023,İlkbahar,21,11048,37.002644,35.264786,42860
Seyhan,Aydınlar,2023,Yaz,34,11048,37.002644,35.264786,50041
Seyhan,Aydınlar,2023,Sonbahar,18,11048,37.002644,35.264786,38401
Seyhan,Bahçelievler,2019,Kış,5,12979,36.962391,35.354321,37823
Seyhan,Bahçelievler,2019,İlkbahar,16,12979,36.962391,35.354321,47556
Seyhan,Bahçelievler,2019,Yaz,37,12979,36.962391,35.354321,57886
Seyhan,Bahçelievler,2019,Sonbahar,16,12979,36.962391,35.354321,43824
Seyhan,Bahçelievler,2020,Kış,18,12979,36.962391,35.354321,41642
Seyhan,Bahçelievler,2020,İlkbahar,29,12979,36.962391,35.354321,51537
Seyhan,Bahçelievler,2020,Yaz,39,12979,36.962391,35.354321,58293
Seyhan,Bahçelievler,2020,Sonbahar,24,12979,36.962391,35.354321,46236
Seyhan,Bahçelievler,2021,Kış,11,12979,36.962391,35.354321,39646
Seyhan,Bahçelievler,2021,İlkbahar,15,12979,36.962391,35.354321,47441
Seyhan,Bahçelievler,2021,Yaz,44,12979,36.962391,35.354321,59934
Seyhan,Bahçelievler,2021,Sonbahar,21,12979,36.962391,35.354321,45306
Seyhan,Bahçelievler,2022,Kış,15,12979,36.962391,35.354321,40893
Seyhan,Bahçelievler,2022,İlkbahar,20,12979,36.962391,35.354321,48879
Seyhan,Bahçelievler,2022,Yaz,33,12979,36.962391,35.354321,56618
Seyhan,Bahçelievler,2022,Sonbahar,19,12979,36.962391,35.354321,44659
Seyhan,Bahçelievler,2023,Kış,3,12979,36.962391,35.354321,37297
Seyhan,Bahçelievler,2023,İlkbahar,24,12979,36.962391,35.354321,50126
Seyhan,Bahçelievler,2023,Yaz,33,12979,36.962391,35.354321,56696
Seyhan,Bahçelievler,2023,Sonbahar,16,12979,36.962391,35.354321,43685
Seyhan,Bahçelievler,2019,Kış,7,3936,36.962391,35.354321,13034
Seyhan,Bahçelievler,2019,İlkbahar,20,3936,36.962391,35.354321,19050
Seyhan,Bahçelievler,2019,Yaz,32,3936,36.962391,35.354321,23883
Seyhan,Bahçelievler,2019,Sonbahar,12,3936,36.962391,35.354321,15511
Seyhan,Bahçelievler,2020,Kış,10,3936,36.962391,35.354321,13917
Seyhan,Bahçelievler,2020,İlkbahar,16,3936,36.962391,35.354321,17875
Seyhan,Bahçelievler,2020,Yaz,42,3936,36.962391,35.354321,26860
Seyhan,Bahçelievler,2020,Sonbahar,15,3936,36.962391,35.354321,16384
Seyhan,Bahçelievler,2021,Kış,19,3936,36.962391,35.354321,16795
Seyhan,Bahçelievler,2021,İlkbahar,18,3936,36.962391,35.354321,18440
Seyhan,Bahçelievler,2021,Yaz,35,3936,36.962391,35.354321,24770
Seyhan,Bahçelievler,2021,Sonbahar,23,3936,36.962391,35.354321,18743
Seyhan,Bahçelievler,2022,Kış,7,3936,36.962391,35.354321,13047
Seyhan,Bahçelievler,2022,İlkbahar,24,3936,36.962391,35.354321,20254
Seyhan,Bahçelievler,2022,Yaz,30,3936,36.962391,35.354321,23209
Seyhan,Bahçelievler,2022,Sonbahar,25,3936,36.962391,35.354321,19257
Seyhan,Bahçelievler,2023,Kış,7,3936,36.962391,35.354321,13039
Seyhan,Bahçelievler,2023,İlkbahar,27,3936,36.962391,35.354321,20949
Seyhan,Bahçelievler,2023,Yaz,36,3936,36.962391,35.354321,25034
Seyhan,Bahçelievler,2023,Sonbahar,14,3936,36.962391,35.354321,16019
Seyhan,Barbaros,2019,Kış,10,17397,36.971138,35.322136,51600
Seyhan,Barbaros,2019,İlkbahar,20,17397,36.971138,35.322136,63500
Seyhan,Barbaros,2019,Yaz,32,17397,36.971138,35.322136,72203
Seyhan,Barbaros,2019,Sonbahar,17,17397,36.971138,35.322136,57380
Seyhan,Barbaros,2020,Kış,13,17397,36.971138,35.322136,52525
Seyhan,Barbaros,2020,İlkbahar,17,17397,36.971138,35.322136,62567
Seyhan,Barbaros,2020,Yaz,37,17397,36.971138,35.322136,73690
Seyhan,Barbaros,2020,Sonbahar,17,17397,36.971138,35.322136,57245
Seyhan,Barbaros,2021,Kış,13,17397,36.971138,35.322136,52639
Seyhan,Barbaros,2021,İlkbahar,20,17397,36.971138,35.322136,63503
Seyhan,Barbaros,2021,Yaz,30,17397,36.971138,35.322136,71651
Seyhan,Barbaros,2021,Sonbahar,16,17397,36.971138,35.322136,57135
Seyhan,Barbaros,2022,Kış,11,17397,36.971138,35.322136,52110
Seyhan,Barbaros,2022,İlkbahar,15,17397,36.971138,35.322136,62033
Seyhan,Barbaros,2022,Yaz,42,17397,36.971138,35.322136,75164
Seyhan,Barbaros,2022,Sonbahar,11,17397,36.971138,35.322136,55417
Seyhan,Barbaros,2023,Kış,2,17397,36.971138,35.322136,49268
Seyhan,Barbaros,2023,İlkbahar,19,17397,36.971138,35.322136,63115
Seyhan,Barbaros,2023,Yaz,31,17397,36.971138,35.322136,71906
Seyhan,Barbaros,2023,Sonbahar,16,17397,36.971138,35.322136,57024
Seyhan,Barış,2019,Kış,17,12126,37.003826,35.275188,39178
Seyhan,Barış,2019,İlkbahar,27,12126,37.003826,35.275188,48135
Seyhan,Barış,2019,Yaz,35,12126,37.003826,35.275188,54197
Seyhan,Barış,2019,Sonbahar,18,12126,37.003826,35.275188,41650
Seyhan,Barış,2020,Kış,10,12126,37.003826,35.275188,37037
Seyhan,Barış,2020,İlkbahar,22,12126,37.003826,35.275188,46673
Seyhan,Barış,2020,Yaz,31,12126,37.003826,35.275188,52808
Seyhan,Barış,2020,Sonbahar,12,12126,37.003826,35.275188,39892
Seyhan,Barış,2021,Kış,0,12126,37.003826,35.275188,34042
Seyhan,Barış,2021,İlkbahar,20,12126,37.003826,35.275188,46087
Seyhan,Barış,2021,Yaz,30,12126,37.003826,35.275188,52732
Seyhan,Barış,2021,Sonbahar,11,12126,37.003826,35.275188,39792
Seyhan,Barış,2022,Kış,15,12126,37.003826,35.275188,38496
Seyhan,Barış,2022,İlkbahar,22,12126,37.003826,35.275188,46487
Seyhan,Barış,2022,Yaz,41,12126,37.003826,35.275188,55862
Seyhan,Barış,2022,Sonbahar,17,12126,37.003826,35.275188,41529
Seyhan,Barış,2023,Kış,8,12126,37.003826,35.275188,36258
Seyhan,Barış,2023,İlkbahar,22,12126,37.003826,35.275188,46622
Seyhan,Barış,2023,Yaz,30,12126,37.003826,35.275188,52659
Seyhan,Barış,2023,Sonbahar,13,12126,37.003826,35.275188,40305
Seyhan,Bey,2019,Kış,16,11500,36.962723,35.316765,37108
Seyhan,Bey,2019,İlkbahar,28,11500,36.962723,35.316765,46431
Seyhan,Bey,2019,Yaz,44,11500,36.962723,35.316765,54484
Seyhan,Bey,2019,Sonbahar,17,11500,36.962723,35.316765,39742
Seyhan,Bey,2020,Kış,0,11500,36.962723,35.316765,32266
Seyhan,Bey,2020,İlkbahar,23,11500,36.962723,35.316765,44992
Seyhan,Bey,2020,Yaz,35,11500,36.962723,35.316765,51853
Seyhan,Bey,2020,Sonbahar,22,11500,36.962723,35.316765,40961
Seyhan,Bey,2021,Kış,19,11500,36.962723,35.316765,37975
Seyhan,Bey,2021,İlkbahar,27,11500,36.962723,35.316765,46154
Seyhan,Bey,2021,Yaz,43,11500,36.962723,35.316765,54182
Seyhan,Bey,2021,Sonbahar,12,11500,36.962723,35.316765,38222
Seyhan,Bey,2022,Kış,14,11500,36.962723,35.316765,36318
Seyhan,Bey,2022,İlkbahar,15,11500,36.962723,35.316765,42478
Seyhan,Bey,2022,Yaz,39,11500,36.962723,35.316765,53128
Seyhan,Bey,2022,Sonbahar,13,11500,36.962723,35.316765,38315
Seyhan,Bey,2023,Kış,12,11500,36.962723,35.316765,35737
Seyhan,Bey,2023,İlkbahar,29,11500,36.962723,35.316765,46726
Seyhan,Bey,2023,Yaz,33,11500,36.962723,35.316765,51248
Seyhan,Bey,2023,Sonbahar,25,11500,36.962723,35.316765,41860
Seyhan,Beşocak,2019,Kış,10,1156,36.97953,35.325363,6343
Seyhan,Beşocak,2019,İlkbahar,30,1156,36.97953,35.325363,12764
Seyhan,Beşocak,2019,Yaz,40,1156,36.97953,35.325363,16212
Seyhan,Beşocak,2019,Sonbahar,12,1156,36.97953,35.325363,7134
Seyhan,Beşocak,2020,Kış,13,1156,36.97953,35.325363,7180
Seyhan,Beşocak,2020,İlkbahar,29,1156,36.97953,35.325363,12535
Seyhan,Beşocak,2020,Yaz,31,1156,36.97953,35.325363,13320
Seyhan,Beşocak,2020,Sonbahar,22,1156,36.97953,35.325363,10167
Seyhan,Beşocak,2021,Kış,15,1156,36.97953,35.325363,7789
Seyhan,Beşocak,2021,İlkbahar,16,1156,36.97953,35.325363,8675
Seyhan,Beşocak,2021,Yaz,42,1156,36.97953,35.325363,16822
Seyhan,Beşocak,2021,Sonbahar,25,1156,36.97953,35.325363,10868
Seyhan,Beşocak,2022,Kış,14,1156,36.97953,35.325363,7528
Seyhan,Beşocak,2022,İlkbahar,22,1156,36.97953,35.325363,10563
Seyhan,Beşocak,2022,Yaz,40,1156,36.97953,35.325363,16084
Seyhan,Beşocak,2022,Sonbahar,13,1156,36.97953,35.325363,7511
Seyhan,Beşocak,2023,Kış,16,1156,36.97953,35.325363,8152
Seyhan,Beşocak,2023,İlkbahar,18,1156,36.97953,35.325363,9146
Seyhan,Beşocak,2023,Yaz,31,1156,36.97953,35.325363,13574
Seyhan,Beşocak,2023,Sonbahar,17,1156,36.97953,35.325363,8621
Seyhan,Camuzcu,2019,Kış,12,532,36.917675,35.27301,5020
Seyhan,Camuzcu,2019,İlkbahar,19,532,36.917675,35.27301,7501
Seyhan,Camuzcu,2019,Yaz,36,532,36.917675,35.27301,12724
Seyhan,Camuzcu,2019,Sonbahar,23,532,36.917675,35.27301,8593
Seyhan,Camuzcu,2020,Kış,8,532,36.917675,35.27301,3895
Seyhan,Camuzcu,2020,İlkbahar,17,532,36.917675,35.27301,6861
Seyhan,Camuzcu,2020,Yaz,33,532,36.917675,35.27301,11771
Seyhan,Camuzcu,2020,Sonbahar,15,532,36.917675,35.27301,6018
Seyhan,Camuzcu,2021,Kış,11,532,36.917675,35.27301,4689
Seyhan,Camuzcu,2021,İlkbahar,29,532,36.917675,35.27301,10353
Seyhan,Camuzcu,2021,Yaz,39,532,36.917675,35.27301,13632
Seyhan,Camuzcu,2021,Sonbahar,21,532,36.917675,35.27301,7935
Seyhan,Camuzcu,2022,Kış,16,532,36.917675,35.27301,6344
Seyhan,Camuzcu,2022,İlkbahar,18,532,36.917675,35.27301,7042
Seyhan,Camuzcu,2022,Yaz,43,532,36.917675,35.27301,14846
Seyhan,Camuzcu,2022,Sonbahar,16,532,36.917675,35.27301,6276
Seyhan,Camuzcu,2023,Kış,7,532,36.917675,35.27301,3498
Seyhan,Camuzcu,2023,İlkbahar,18,532,36.917675,35.27301,7172
Seyhan,Camuzcu,2023,Yaz,39,532,36.917675,35.27301,13757
Seyhan,Camuzcu,2023,Sonbahar,24,532,36.917675,35.27301,8861
Seyhan,Cemalpaşa,2019,Kış,4,10536,37.003113,35.329758,30583
Seyhan,Cemalpaşa,2019,İlkbahar,23,10536,37.003113,35.329758,41663
Seyhan,Cemalpaşa,2019,Yaz,38,10536,37.003113,35.329758,49463
Seyhan,Cemalpaşa,2019,Sonbahar,13,10536,37.003113,35.329758,35507
Seyhan,Cemalpaşa,2020,Kış,10,10536,37.003113,35.329758,32442
Seyhan,Cemalpaşa,2020,İlkbahar,21,10536,37.003113,35.329758,41213
Seyhan,Cemalpaşa,2020,Yaz,34,10536,37.003113,35.329758,48075
Seyhan,Cemalpaşa,2020,Sonbahar,13,10536,37.003113,35.329758,35402
Seyhan,Cemalpaşa,2021,Kış,11,10536,37.003113,35.329758,32748
Seyhan,Cemalpaşa,2021,İlkbahar,16,10536,37.003113,35.329758,39691
Seyhan,Cemalpaşa,2021,Yaz,32,10536,37.003113,35.329758,47390
Seyhan,Cemalpaşa,2021,Sonbahar,16,10536,37.003113,35.329758,36419
Seyhan,Cemalpaşa,2022,Kış,13,10536,37.003113,35.329758,33280
Seyhan,Cemalpaşa,2022,İlkbahar,18,10536,37.003113,35.329758,40056
Seyhan,Cemalpaşa,2022,Yaz,36,10536,37.003113,35.329758,48802
Seyhan,Cemalpaşa,2022,Sonbahar,24,10536,37.003113,35.329758,38778
Seyhan,Cemalpaşa,2023,Kış,7,10536,37.003113,35.329758,31722
Seyhan,Cemalpaşa,2023,İlkbahar,23,10536,37.003113,35.329758,41785
Seyhan,Cemalpaşa,2023,Yaz,39,10536,37.003113,35.329758,49633
Seyhan,Cemalpaşa,2023,Sonbahar,14,10536,37.003113,35.329758,35823
Seyhan,Dağlıoğlu,2019,Kış,8,23002,36.972633,35.307369,66851
Seyhan,Dağlıoğlu,2019,İlkbahar,26,23002,36.972633,35.307369,83617
Seyhan,Dağlıoğlu,2019,Yaz,40,23002,36.972633,35.307369,94771
Seyhan,Dağlıoğlu,2019,Sonbahar,22,23002,36.972633,35.307369,75512
Seyhan,Dağlıoğlu,2020,Kış,15,23002,36.972633,35.307369,68963
Seyhan,Dağlıoğlu,2020,İlkbahar,26,23002,36.972633,35.307369,83572
Seyhan,Dağlıoğlu,2020,Yaz,45,23002,36.972633,35.307369,96196
Seyhan,Dağlıoğlu,2020,Sonbahar,14,23002,36.972633,35.307369,73346
Seyhan,Dağlıoğlu,2021,Kış,6,23002,36.972633,35.307369,66355
Seyhan,Dağlıoğlu,2021,İlkbahar,27,23002,36.972633,35.307369,84017
Seyhan,Dağlıoğlu,2021,Yaz,41,23002,36.972633,35.307369,95038
Seyhan,Dağlıoğlu,2021,Sonbahar,21,23002,36.972633,35.307369,75449
Seyhan,Dağlıoğlu,2022,Kış,7,23002,36.972633,35.307369,66413
Seyhan,Dağlıoğlu,2022,İlkbahar,27,23002,36.972633,35.307369,84076
Seyhan,Dağlıoğlu,2022,Yaz,38,23002,36.972633,35.307369,94182
Seyhan,Dağlıoğlu,2022,Sonbahar,19,23002,36.972633,35.307369,74756
Seyhan,Dağlıoğlu,2023,Kış,8,23002,36.972633,35.307369,66754
Seyhan,Dağlıoğlu,2023,İlkbahar,21,23002,36.972633,35.307369,82280
Seyhan,Dağlıoğlu,2023,Yaz,45,23002,36.972633,35.307369,96208
Seyhan,Dağlıoğlu,2023,Sonbahar,11,23002,36.972633,35.307369,72301
Seyhan,Demetevler,2019,Kış,7,7543,36.998351,35.283983,23156
Seyhan,Demetevler,2019,İlkbahar,24,7543,36.998351,35.283983,32179
Seyhan,Demetevler,2019,Yaz,35,7543,36.998351,35.283983,37635
Seyhan,Demetevler,2019,Sonbahar,16,7543,36.998351,35.283983,27320
Seyhan,Demetevler,2020,Kış,16,7543,36.998351,35.283983,25815
Seyhan,Demetevler,2020,İlkbahar,25,7543,36.998351,35.283983,32264
Seyhan,Demetevler,2020,Yaz,37,7543,36.998351,35.283983,38145
Seyhan,Demetevler,2020,Sonbahar,23,7543,36.998351,35.283983,29429
Seyhan,Demetevler,2021,Kış,6,7543,36.998351,35.283983,22903
Seyhan,Demetevler,2021,İlkbahar,29,7543,36.998351,35.283983,33601
Seyhan,Demetevler,2021,Yaz,44,7543,36.998351,35.283983,40230
Seyhan,Demetevler,2021,Sonbahar,21,7543,36.998351,35.283983,28948
Seyhan,Demetevler,2022,Kış,17,7543,36.998351,35.283983,26210
Seyhan,Demetevler,2022,İlkbahar,25,7543,36.998351,35.283983,32424
Seyhan,Demetevler,2022,Yaz,44,7543,36.998351,35.283983,40456
Seyhan,Demetevler,2022,Sonbahar,23,7543,36.998351,35.283983,29440
Seyhan,Demetevler,2023,Kış,8,7543,36.998351,35.283983,23661
Seyhan,Demetevler,2023,İlkbahar,21,7543,36.998351,35.283983,31259
Seyhan,Demetevler,2023,Yaz,37,7543,36.998351,35.283983,38111
Seyhan,Demetevler,2023,Sonbahar,25,7543,36.998351,35.283983,30056
Seyhan,Denizli,2019,Kış,11,13222,37.002392,35.300583,40281
Seyhan,Denizli,2019,İlkbahar,23,13222,37.002392,35.300583,50583
Seyhan,Denizli,2019,Yaz,36,13222,37.002392,35.300583,58304
Seyhan,Denizli,2019,Sonbahar,11,13222,37.002392,35.300583,43116
Seyhan,Denizli,2020,Kış,16,13222,37.002392,35.300583,41848
Seyhan,Denizli,2020,İlkbahar,20,13222,37.002392,35.300583,49617
Seyhan,Denizli,2020,Yaz,39,13222,37.002392,35.300583,59360
Seyhan,Denizli,2020,Sonbahar,13,13222,37.002392,35.300583,43428
Seyhan,Denizli,2021,Kış,19,13222,37.002392,35.300583,42837
Seyhan,Denizli,2021,İlkbahar,25,13222,37.002392,35.300583,51169
Seyhan,Denizli,2021,Yaz,34,13222,37.002392,35.300583,57783
Seyhan,Denizli,2021,Sonbahar,11,13222,37.002392,35.300583,42850
Seyhan,Denizli,2022,Kış,11,13222,37.002392,35.300583,40194
Seyhan,Denizli,2022,İlkbahar,22,13222,37.002392,35.300583,50127
Seyhan,Denizli,2022,Yaz,32,13222,37.002392,35.300583,57126
Seyhan,Denizli,2022,Sonbahar,11,13222,37.002392,35.300583,42866
Seyhan,Denizli,2023,Kış,17,13222,37.002392,35.300583,41992
Seyhan,Denizli,2023,İlkbahar,18,13222,37.002392,35.300583,48929
Seyhan,Denizli,2023,Yaz,43,13222,37.002392,35.300583,60529
Seyhan,Denizli,2023,Sonbahar,10,13222,37.002392,35.300583,42677
Seyhan,Dervişler,2019,Kış,7,378,36.82571,35.199734,3241
Seyhan,Dervişler,2019,İlkbahar,21,378,36.82571,35.199734,7606
Seyhan,Dervişler,2019,Yaz,40,378,36.82571,35.199734,13262
Seyhan,Dervişler,2019,Sonbahar,21,378,36.82571,35.199734,7503
Seyhan,Dervişler,2020,Kış,2,378,36.82571,35.199734,1551
Seyhan,Dervişler,2020,İlkbahar,17,378,36.82571,35.199734,6490
Seyhan,Dervişler,2020,Yaz,33,378,36.82571,35.199734,11329
Seyhan,Dervişler,2020,Sonbahar,20,378,36.82571,35.199734,7282
Seyhan,Dervişler,2021,Kış,2,378,36.82571,35.199734,1533
Seyhan,Dervişler,2021,İlkbahar,17,378,36.82571,35.199734,6495
Seyhan,Dervişler,2021,Yaz,42,378,36.82571,35.199734,13844
Seyhan,Dervişler,2021,Sonbahar,14,378,36.82571,35.199734,5271
Seyhan,Dervişler,2022,Kış,14,378,36.82571,35.199734,5289
Seyhan,Dervişler,2022,İlkbahar,24,378,36.82571,35.199734,8461
Seyhan,Dervişler,2022,Yaz,39,378,36.82571,35.199734,13053
Seyhan,Dervişler,2022,Sonbahar,18,378,36.82571,35.199734,6560
Seyhan,Dervişler,2023,Kış,13,378,36.82571,35.199734,4833
Seyhan,Dervişler,2023,İlkbahar,25,378,36.82571,35.199734,8813
Seyhan,Dervişler,2023,Yaz,40,378,36.82571,35.199734,13398
Seyhan,Dervişler,2023,Sonbahar,19,378,36.82571,35.199734,6874
Seyhan,Dumlupınar,2019,Kış,0,12656,36.979992,35.302353,35521
Seyhan,Dumlupınar,2019,İlkbahar,22,12656,36.979992,35.302353,48250
Seyhan,Dumlupınar,2019,Yaz,34,12656,36.979992,35.302353,55628
Seyhan,Dumlupınar,2019,Sonbahar,12,12656,36.979992,35.302353,41571
Seyhan,Dumlupınar,2020,Kış,5,12656,36.979992,35.302353,36983
Seyhan,Dumlupınar,2020,İlkbahar,29,12656,36.979992,35.302353,50355
Seyhan,Dumlupınar,2020,Yaz,37,12656,36.979992,35.302353,56674
Seyhan,Dumlupınar,2020,Sonbahar,20,12656,36.979992,35.302353,44062
Seyhan,Dumlupınar,2021,Kış,14,12656,36.979992,35.302353,39510
